date_sql,currency_type,record_type,record_type,version,billing_document,billing_document_item,order_co,order_co_item,value_for_reporting
2023-12-01,10,F,F,,9302501875,000012,1084296936,,010
2023-12-01,10,B,B,,0100920385,,1081945018,,010
2023-12-01,10,F,F,,9302494369,000010,1083816560,,010
2023-12-01,10,B,B,,0100912736,,1078336718,,010
2023-12-01,10,F,F,,9302482971,000011,1080162504,,010
2023-12-01,10,B,B,,0103630131,,1084445860,,010
2023-12-01,10,F,F,,9224055868,000010,1084884208,,010
2023-12-01,10,B,B,,0103077349,,1074518502,,010
2023-12-01,10,F,F,,9302482970,000022,1080162502,,010
2023-12-01,10,F,F,,9302479850,000020,1078345545,,010
2023-12-01,10,B,B,,5010210722,000001,1074155078,,010
2023-12-01,10,F,F,,9302468084,000013,1076249165,,010
2023-12-01,10,F,F,,9302482970,000023,1080162503,,010
2023-12-01,10,B,B,,0101097026,,1084000737,,010
2023-12-01,10,F,F,,9302492115,000011,1083982263,,010
2023-12-01,10,B,B,,5010261889,000001,1084675374,,010
2023-12-01,10,B,B,,0103335678,,1083999865,,010
2023-12-01,10,K,K,,103330329,,1078129559,,010
2023-12-01,10,F,F,,9302473954,000022,1078035926,,010
2023-12-01,10,K,K,,103330330,,1078129560,,010
2023-12-01,10,K,K,,100932033,,1078129584,,010
2023-12-01,10,B,B,,0100084218,,1084459521,,010
2023-12-01,10,F,F,,9302473954,000012,1078035925,,010
2023-12-01,10,B,B,,0103455574,,1084459522,,010
2023-12-01,10,F,F,,9224103790,000010,1084880356,,010
2023-12-01,10,F,F,,9302514185,000012,1084886347,,010
2023-12-01,10,K,K,,100932034,,1078129585,,010
2023-12-01,10,F,F,,9302514185,000011,1084886346,,010
2023-12-01,10,F,F,,9302511057,000010,1084805961,,010
2023-12-01,10,F,F,,9302484466,000012,1081910771,,010
2023-12-01,10,K,K,,100932032,,1078129583,,010
2023-12-01,10,F,F,,9302484466,000011,1081910770,,010
2023-12-01,10,F,F,,9224103793,000010,1084880357,,010
2023-12-01,10,F,F,,9119768936,000012,1081955646,,010
2023-12-01,10,F,F,,9302471290,000012,1077646099,,010
2023-12-01,10,F,F,,9119768936,000011,1081955645,,010
2023-12-01,10,F,F,,9302496804,000020,1083976006,,010
2023-12-01,10,F,F,,9302482972,000032,1080162506,,010
2023-12-01,10,F,F,,9302471292,000011,1077646101,,010
2023-12-01,10,F,F,,9302482972,000012,1080162505,,010
2023-12-01,10,F,F,,9302471288,000011,1077609027,,010
2023-12-01,10,F,F,,9302471292,000013,1077646102,,010
2023-12-01,10,F,F,,9302511057,000030,1084805963,,010
2023-12-01,10,F,F,,9302471294,000011,1077646105,,010
2023-12-01,10,F,F,,9302474601,000020,1078099904,,010
2023-12-01,10,B,B,,0100948752,,1077438717,,010
2023-12-01,10,F,F,,9302511057,000020,1084805962,,010
2023-12-01,10,F,F,,9302496804,000030,1083976007,,010
2023-12-01,10,F,F,,9223820370,000180,1078378279,,010
2023-12-01,10,F,F,,9302494525,000010,1083807027,,010
2023-12-01,10,F,F,,9223820370,000160,1078378278,,010
2023-12-01,10,F,F,,9302496804,000010,1083976005,,010
2023-12-01,10,F,F,,9223820370,000200,1078378280,,010
2023-12-01,10,F,F,,9302474601,000010,1078099903,,010
2023-12-01,10,F,F,,9302496755,000030,1083997172,,010
2023-12-01,10,F,F,,9302511029,000010,1084804246,,010
2023-12-01,10,F,F,,9302496755,000020,1083997171,,010
2023-12-01,10,F,F,,9302474601,000030,1078099905,,010
2023-12-01,10,F,F,,9302496755,000010,1083997170,,010
2023-12-01,10,F,F,,9302494525,000030,1083807029,,010
2023-12-01,10,F,F,,9302472510,000010,1077646161,,010
2023-12-01,10,F,F,,9302486701,000010,1081948090,,010
2023-12-01,10,F,F,,9302472510,000030,1077646163,,010
2023-12-01,10,F,F,,9302482201,000041,1078822609,,010
2023-12-01,10,F,F,,9302472510,000020,1077646162,,010
2023-12-01,10,F,F,,9302486702,000020,1081948091,,010
2023-12-01,10,F,F,,9302472509,000010,1077646158,,010
2023-12-01,10,F,F,,9302494525,000020,1083807028,,010
2023-12-01,10,F,F,,9302472509,000020,1077646159,,010
2023-12-01,10,F,F,,9302511029,000030,1084804248,,010
2023-12-01,10,F,F,,9302472509,000030,1077646160,,010
2023-12-01,10,K,K,,103530113,,1083783355,,010
2023-12-01,10,F,F,,9302513695,000011,1084885206,,010
2023-12-01,10,F,F,,9302477004,000020,1078167153,,010
2023-12-01,10,F,F,,9302513694,000010,1084885205,,010
2023-12-01,10,K,K,,100920035,,1083783359,,010
2023-12-01,10,F,F,,9302513687,000020,1084883104,,010
2023-12-01,10,F,F,,9302511029,000020,1084804247,,010
2023-12-01,10,F,F,,9302513687,000030,1084883105,,010
2023-12-01,10,B,B,,0100977012,,1083800726,,010
2023-12-01,10,F,F,,9302513687,000010,1084883103,,010
